time,gFx,gFy,gFz,gFTotal,walker
0.0088610649108886,-0.024,-0.287,-1.03,1.07,daniel
0.0091900825500488,-0.024,-0.287,-1.03,1.07,daniel
0.0095221996307373,-0.024,-0.287,-1.03,1.07,daniel
0.0180389881134033,-0.004,-0.303,-0.985,1.031,daniel
0.0289719104766845,0.013,-0.299,-0.926,0.973,daniel
0.038262128829956,0.004,-0.299,-0.883,0.932,daniel
0.0488569736480712,-0.011,-0.313,-0.849,0.905,daniel
0.058500051498413,-0.029,-0.32,-0.844,0.903,daniel
0.0684289932250976,-0.034,-0.312,-0.861,0.916,daniel
0.0788018703460693,-0.024,-0.31,-0.896,0.948,daniel
0.1006660461425781,0.013,-0.311,-0.947,0.997,daniel
0.1009829044342041,0.013,-0.311,-0.947,0.997,daniel
0.1084730625152587,0.036,-0.299,-0.964,1.01,daniel
0.1194069385528564,0.05,-0.293,-0.977,1.021,daniel
0.1296520233154297,0.056,-0.293,-0.985,1.029,daniel
0.1481759548187255,0.06,-0.283,-1.007,1.048,daniel
0.1522450447082519,0.06,-0.283,-1.007,1.048,daniel
0.1595761775970459,0.062,-0.283,-1.022,1.062,daniel
0.1692140102386474,0.064,-0.283,-1.034,1.074,daniel
0.1799399852752685,0.066,-0.286,-1.033,1.074,daniel
0.210508108139038,0.063,-0.304,-0.962,1.011,daniel
0.2111330032348632,0.063,-0.304,-0.962,1.011,daniel
0.2141180038452148,0.063,-0.304,-0.962,1.011,daniel
0.2191619873046875,0.066,-0.305,-0.937,0.988,daniel
0.2302310466766357,0.071,-0.307,-0.917,0.97,daniel
0.2395989894866943,0.077,-0.309,-0.906,0.96,daniel
0.2500131130218506,0.08,-0.311,-0.906,0.961,daniel
0.2608270645141601,0.082,-0.309,-0.919,0.973,daniel
0.2702610492706299,0.083,-0.31,-0.933,0.987,daniel
0.2806529998779297,0.078,-0.312,-0.95,1.003,daniel
0.310054063796997,0.066,-0.312,-0.988,1.038,daniel
0.3104779720306396,0.066,-0.312,-0.988,1.038,daniel
0.3108489513397217,0.066,-0.312,-0.988,1.038,daniel
0.3195970058441162,0.072,-0.31,-0.985,1.035,daniel
0.3304610252380371,0.079,-0.312,-0.969,1.021,daniel
0.341137170791626,0.083,-0.316,-0.959,1.013,daniel
0.3499128818511963,0.072,-0.314,-0.96,1.013,daniel
0.3601250648498535,0.07,-0.319,-0.93,0.986,daniel
0.369887113571167,0.071,-0.318,-0.928,0.984,daniel
0.3799130916595459,0.078,-0.318,-0.93,0.986,daniel
0.4091939926147461,0.045,-0.299,-0.982,1.027,daniel
0.4101259708404541,0.045,-0.299,-0.982,1.027,daniel
0.4121339321136474,0.045,-0.299,-0.982,1.027,daniel
0.4193470478057861,0.035,-0.299,-0.973,1.019,daniel
0.4303240776062011,0.032,-0.305,-0.957,1.005,daniel
0.4399189949035644,0.024,-0.308,-0.944,0.993,daniel
0.4505069255828857,0.011,-0.31,-0.917,0.968,daniel
0.4607079029083252,-0.001,-0.312,-0.89,0.943,daniel
0.4704358577728271,-0.023,-0.296,-0.878,0.927,daniel
0.4809939861297607,-0.068,-0.294,-0.847,0.899,daniel
0.4956810474395752,-0.082,-0.328,-0.806,0.874,daniel
0.5118701457977295,-0.005,-0.319,-0.854,0.912,daniel
0.5121629238128662,-0.005,-0.319,-0.854,0.912,daniel
0.5200130939483643,-0.002,-0.329,-0.906,0.964,daniel
0.530350923538208,0.011,-0.363,-0.946,1.013,daniel
0.5401899814605713,0.012,-0.355,-1.001,1.062,daniel
0.5509130954742432,-0.016,-0.317,-1.054,1.101,daniel
0.5608699321746826,-0.027,-0.289,-1.086,1.124,daniel
0.5706300735473633,-0.034,-0.3,-1.104,1.145,daniel
0.5812020301818848,-0.049,-0.305,-1.1,1.143,daniel
0.6095809936523438,0.006,-0.32,-0.804,0.865,daniel
0.6104838848114014,0.006,-0.32,-0.804,0.865,daniel
0.6124410629272461,0.006,-0.32,-0.804,0.865,daniel
