time,gFx,gFy,gFz,TgF,walker,gender
0.00137026,-0.0977,0.1875,0.8567,0.882,wenling,female
0.001763906,-0.1142,0.188,0.8708,0.898,wenling,female
0.001920729,-0.1228,0.1808,0.8858,0.912,wenling,female
0.002078177,-0.1373,0.1764,0.8999,0.927,wenling,female
0.005446667,-0.1479,0.1778,0.9159,0.945,wenling,female
0.007932605,-0.1556,0.1817,0.9499,0.98,wenling,female
0.012947918,-0.1716,0.1866,0.9756,1.008,wenling,female
0.013269063,-0.1842,0.1944,0.9897,1.025,wenling,female
0.013703074,-0.1972,0.1988,1.0091,1.047,wenling,female
0.01622672,-0.1895,0.2061,1.0358,1.073,wenling,female
0.019270939,-0.174,0.2036,1.0547,1.088,wenling,female
0.022307918,-0.1552,0.2051,1.0698,1.1,wenling,female
0.024728335,-0.1286,0.2022,1.0843,1.11,wenling,female
0.02745594,-0.1107,0.2036,1.096,1.12,wenling,female
0.030000992,-0.1035,0.2085,1.0916,1.116,wenling,female
0.032600367,-0.0962,0.2236,1.0858,1.113,wenling,female
0.035044847,-0.0914,0.2275,1.081,1.108,wenling,female
0.036844326,-0.0972,0.2309,1.0756,1.104,wenling,female
0.039783441,-0.103,0.2344,1.062,1.092,wenling,female
0.041485368,-0.1011,0.2368,1.0576,1.089,wenling,female
0.044875056,-0.1021,0.2378,1.0566,1.088,wenling,female
0.047989796,-0.0986,0.2329,1.0518,1.082,wenling,female
0.049628598,-0.0986,0.2363,1.0503,1.081,wenling,female
0.051338442,-0.1021,0.2373,1.0455,1.077,wenling,female
0.054080057,-0.0938,0.2378,1.0484,1.079,wenling,female
0.056168026,-0.0909,0.2422,1.0484,1.08,wenling,female
0.059696776,-0.0856,0.2358,1.0406,1.07,wenling,female
0.064682402,-0.0687,0.245,1.0401,1.071,wenling,female
0.065588079,-0.059,0.2373,1.0416,1.07,wenling,female
0.067350788,-0.0605,0.228,1.0416,1.068,wenling,female
0.069819538,-0.0513,0.2251,1.029,1.055,wenling,female
0.071996882,-0.0474,0.2183,0.9936,1.018,wenling,female
0.074749642,-0.0397,0.2109,0.9848,1.008,wenling,female
0.077659539,-0.032,0.2027,0.9902,1.011,wenling,female
0.079814799,-0.0276,0.1875,0.9873,1.005,wenling,female
0.082788549,-0.0218,0.1768,0.9809,0.997,wenling,female
0.084527195,-0.017,0.1676,0.9863,1.001,wenling,female
0.087376258,-0.0126,0.1618,0.9868,1.0,wenling,female
0.089844488,-0.0088,0.1583,0.9955,1.008,wenling,female
0.092043498,-0.0054,0.149,1.0071,1.018,wenling,female
0.094658707,-0.0045,0.1388,1.0111,1.021,wenling,female
0.096733863,-0.0059,0.131,1.0208,1.029,wenling,female
0.098866364,-0.0083,0.1261,1.0343,1.042,wenling,female
0.102164697,-0.016,0.1291,1.0421,1.05,wenling,female
0.104786989,-0.0189,0.1369,1.0382,1.047,wenling,female
0.107272771,-0.0291,0.1408,1.0406,1.051,wenling,female
0.109700636,-0.0397,0.1481,1.0329,1.044,wenling,female
0.113204021,-0.059,0.1593,1.0188,1.033,wenling,female
0.115509542,-0.0711,0.1651,0.9975,1.014,wenling,female
0.11693824,-0.0803,0.1783,0.9858,1.005,wenling,female
0.119088345,-0.0933,0.1875,0.9703,0.993,wenling,female
0.122136366,-0.1035,0.2012,0.9553,0.982,wenling,female
0.124326158,-0.1088,0.2036,0.947,0.975,wenling,female
0.127540169,-0.1189,0.2119,0.9378,0.969,wenling,female
0.129770221,-0.1296,0.2139,0.9339,0.967,wenling,female
0.133321784,-0.1247,0.2183,0.9251,0.959,wenling,female
0.133642461,-0.1296,0.2149,0.9203,0.954,wenling,female
0.136535274,-0.1344,0.2085,0.9203,0.953,wenling,female
0.139786888,-0.133,0.2022,0.9174,0.949,wenling,female
0.142018087,-0.134,0.1978,0.9198,0.95,wenling,female
0.144731889,-0.1262,0.191,0.9198,0.948,wenling,female
0.146977098,-0.1252,0.1856,0.9121,0.939,wenling,female
0.149882723,-0.1228,0.1885,0.9174,0.945,wenling,female
0.152331786,-0.1223,0.1808,0.9329,0.958,wenling,female
0.154595119,-0.1242,0.1744,0.9368,0.961,wenling,female
0.157560484,-0.1156,0.1754,0.9344,0.958,wenling,female
0.159019599,-0.1146,0.17,0.9388,0.961,wenling,female
0.163693245,-0.1165,0.1715,0.9504,0.973,wenling,female
0.165497568,-0.1199,0.17,0.9553,0.978,wenling,female
0.167333141,-0.1238,0.1734,0.9606,0.984,wenling,female
0.169542516,-0.1194,0.1705,0.9737,0.996,wenling,female
0.170832256,-0.1233,0.171,0.9814,1.004,wenling,female
0.174165434,-0.1267,0.1725,0.979,1.002,wenling,female
0.176034184,-0.1242,0.1759,0.9834,1.007,wenling,female
0.178730226,-0.1242,0.1773,0.9921,1.015,wenling,female
0.182874132,-0.1252,0.1773,0.9946,1.018,wenling,female
0.184552362,-0.13,0.1788,0.9921,1.016,wenling,female
0.187329966,-0.1291,0.1871,0.9975,1.023,wenling,female
0.189727831,-0.1277,0.1861,0.9955,1.021,wenling,female
0.192021946,-0.1262,0.1861,0.9902,1.015,wenling,female
0.194858196,-0.1257,0.1836,0.9946,1.019,wenling,female
0.197489811,-0.1252,0.1832,0.9936,1.018,wenling,female
0.199765228,-0.1257,0.1871,0.9916,1.017,wenling,female
0.202142311,-0.1267,0.1895,0.9853,1.011,wenling,female
0.204537468,-0.131,0.1866,0.9809,1.007,wenling,female
0.20738252,-0.1296,0.1803,0.979,1.004,wenling,female
0.209400645,-0.1281,0.1798,0.9761,1.001,wenling,female
0.212190802,-0.1277,0.1846,0.9713,0.997,wenling,female
0.213691844,-0.1252,0.1808,0.979,1.003,wenling,female
0.215969917,-0.1286,0.1808,0.9761,1.001,wenling,female
0.218855386,-0.1354,0.188,0.9829,1.01,wenling,female
0.222310438,-0.1335,0.1871,0.9722,0.999,wenling,female
0.224302209,-0.1363,0.1803,0.9732,0.999,wenling,female
0.227955439,-0.1363,0.1841,0.9683,0.995,wenling,female
0.23054695,-0.1368,0.1831,0.964,0.991,wenling,female
0.233245908,-0.1383,0.1798,0.964,0.99,wenling,female
0.234123044,-0.1397,0.1808,0.9596,0.986,wenling,female
0.23812143,-0.1325,0.1817,0.9596,0.986,wenling,female
0.238964138,-0.1335,0.1812,0.9509,0.977,wenling,female
0.242427003,-0.1305,0.1778,0.9557,0.981,wenling,female
0.244457732,-0.1305,0.1754,0.9596,0.984,wenling,female
0.248377212,-0.13,0.1705,0.9606,0.984,wenling,female
0.249963983,-0.1272,0.1715,0.9562,0.98,wenling,female
0.251451118,-0.1262,0.1632,0.9557,0.978,wenling,female
0.253669244,-0.1242,0.1641,0.9557,0.978,wenling,female
0.257278515,-0.1267,0.1578,0.9538,0.975,wenling,female
0.25843164,-0.1219,0.1618,0.9557,0.977,wenling,female
0.263089088,-0.1233,0.1613,0.9625,0.984,wenling,female
0.264824766,-0.1267,0.1583,0.9616,0.983,wenling,female
0.266546641,-0.1296,0.1608,0.9601,0.982,wenling,female
0.270425704,-0.134,0.1583,0.9606,0.983,wenling,female
0.271631797,-0.1305,0.1564,0.9591,0.98,wenling,female
0.274487839,-0.1363,0.1598,0.9611,0.984,wenling,female
0.279484923,-0.1407,0.1583,0.963,0.986,wenling,female
0.279819038,-0.1412,0.1603,0.9688,0.992,wenling,female
0.281819038,-0.1436,0.1666,0.9654,0.99,wenling,female
0.284892945,-0.1445,0.1666,0.9683,0.993,wenling,female
0.287297893,-0.1431,0.1695,0.9722,0.997,wenling,female
0.289231643,-0.1455,0.1656,0.9737,0.998,wenling,female
0.291415497,-0.1484,0.1715,0.9693,0.995,wenling,female
0.29444081,-0.1455,0.1705,0.9766,1.002,wenling,female
0.296318258,-0.1445,0.1773,0.9727,0.999,wenling,female
0.298696592,-0.1445,0.1729,0.9741,1.0,wenling,female
